category_name,category_id,product_name,brand,serving_size,total_weight,kcal,carbohydrate_g,sugar_g,fat_g,saturated_fat_g,trans_fat_g,protein_g,sodium_mg,sugar_alcohol_g,allulose_g,erythritol_g
과자 및 스낵,1,롯데시네마 제로팝콘,㈜제이앤이 아산공장,20g,70.00g,456,80.03,0,13.08,5.09,0.2,4.45,312,,,
과자 및 스낵,1,무설탕팥앙금그때그단팥빵,주식회사 더베이스코리아,70g,253.860g,254,50.09,3.31,3.18,0,1.86,6.22,195,,,
과자 및 스낵,1,이디야 제로슈가쿠키 더블초코,(주)더플랜잇,30g,40.00g,438,62.5,0,20,11.25,0,15,600,21.75,,
과자 및 스낵,1,이디야 제로슈가쿠키 스윗오트,(주)더플랜잇,30g,40.00g,433,62.5,0,17.5,10,0,15,625,17,,
과자 및 스낵,1,잇츠베러 제로슈가쿠키 더블초코,(주)더플랜잇,30g,40.00g,433,62.5,7.5,20,11.25,0,15,600,,,
과자 및 스낵,1,잇츠베러 제로슈가쿠키 스윗오트,(주)더플랜잇,30g,40.00g,433,62.5,0,17.5,10,0,15,625,,,
과자 및 스낵,1,잇츠베러 제로슈가쿠키 토피넛,(주)더플랜잇,30g,40.00g,425,65,0,15,8.75,0,15,425,7.3,,
과자 및 스낵,1,잇츠베러 제로슈가쿠키 황치즈향,(주)더플랜잇,30g,40.00g,433,62.5,0,17.5,10.5,0,15,800,,,
과자 및 스낵,1,제로 브라우니,제로베이커리,70g,55.00g,365,34.55,1.82,30.91,14.55,0.91,9.09,451,10,,
과자 및 스낵,1,제로 브라우니샌드,제로베이커리,30g,40.00g,395,30,2.5,36,19.25,1,7.75,370,7,,
과자 및 스낵,1,제로 수플레 치즈케이크,주식회사 케익모아,70g,290.000g,292,35.63,0,17.18,8.69,0.29,6.74,160,,,
과자 및 스낵,1,제로 스콘,제로베이커리,70g,55.00g,400,23.64,1.82,32.73,7.27,0,12.73,342,4,,
과자 및 스낵,1,제로 연양갱,삼성식품,50g,50.00g,190,66,0,0,0,0,2,10,40,,
과자 및 스낵,1,제로 초코 롤케이크,주식회사 케익모아,70g,300.000g,219,16.1,0.9,13,11,0,9.4,105,,,
과자 및 스낵,1,제로 초코타르트,제로베이커리,70g,600.000g,469,32,3,43,20,0.5,12,440,21,,
과자 및 스낵,1,제로 초콜릿칩 쿠키,롯데제과㈜,30g,168.000g,470,60,0,26,14,0.35,9,440,,,
과자 및 스낵,1,제로 카카오 케이크,롯데제과㈜,30g,171.000g,455,48,0,29,13,0,9,350,,,
과자 및 스낵,1,제로 카카오파운드,제로베이커리,70g,60.00g,297,23.33,8.33,22.67,12.5,0.5,6.67,333,,,
과자 및 스낵,1,제로 쿠앤크 샌드,롯데웰푸드㈜,30g,96.00g,464,67.71,0,25,12.5,0.09,4.17,406,,,
과자 및 스낵,1,제로 크림치즈타르트,제로베이커리,70g,550.000g,421,20,3,39,16,0.5,12,436,13,,
